line top point : (594000.956, 5753195.131)	 line bottom point : (594000.956, 5745470.425) 	 left # : 1498 	 right # : 1570 	 overlap_with_division_line # : 333
line top point : (594393.956, 5753195.131)	 line bottom point : (594393.956, 5745470.425) 	 left # : 1798 	 right # : 1340 	 overlap_with_division_line # : 263
line top point : (594394.956, 5753195.131)	 line bottom point : (594394.956, 5745470.425) 	 left # : 1798 	 right # : 1340 	 overlap_with_division_line # : 263
line top point : (594395.956, 5753195.131)	 line bottom point : (594395.956, 5745470.425) 	 left # : 1798 	 right # : 1340 	 overlap_with_division_line # : 263
line top point : (594396.956, 5753195.131)	 line bottom point : (594396.956, 5745470.425) 	 left # : 1798 	 right # : 1340 	 overlap_with_division_line # : 263
line top point : (594397.956, 5753195.131)	 line bottom point : (594397.956, 5745470.425) 	 left # : 1798 	 right # : 1340 	 overlap_with_division_line # : 263
line top point : (594398.956, 5753195.131)	 line bottom point : (594398.956, 5745470.425) 	 left # : 1798 	 right # : 1340 	 overlap_with_division_line # : 263
line top point : (594399.956, 5753195.131)	 line bottom point : (594399.956, 5745470.425) 	 left # : 1798 	 right # : 1340 	 overlap_with_division_line # : 263
line top point : (594400.956, 5753195.131)	 line bottom point : (594400.956, 5745470.425) 	 left # : 1799 	 right # : 1340 	 overlap_with_division_line # : 262
line top point : (594401.956, 5753195.131)	 line bottom point : (594401.956, 5745470.425) 	 left # : 1799 	 right # : 1340 	 overlap_with_division_line # : 262
line top point : (594402.956, 5753195.131)	 line bottom point : (594402.956, 5745470.425) 	 left # : 1799 	 right # : 1340 	 overlap_with_division_line # : 262
line top point : (594403.956, 5753195.131)	 line bottom point : (594403.956, 5745470.425) 	 left # : 1799 	 right # : 1340 	 overlap_with_division_line # : 262
line top point : (594404.956, 5753195.131)	 line bottom point : (594404.956, 5745470.425) 	 left # : 1799 	 right # : 1340 	 overlap_with_division_line # : 262
line top point : (594405.956, 5753195.131)	 line bottom point : (594405.956, 5745470.425) 	 left # : 1799 	 right # : 1340 	 overlap_with_division_line # : 262
line top point : (594406.956, 5753195.131)	 line bottom point : (594406.956, 5745470.425) 	 left # : 1799 	 right # : 1340 	 overlap_with_division_line # : 262
line top point : (594407.956, 5753195.131)	 line bottom point : (594407.956, 5745470.425) 	 left # : 1799 	 right # : 1340 	 overlap_with_division_line # : 262
line top point : (594408.956, 5753195.131)	 line bottom point : (594408.956, 5745470.425) 	 left # : 1801 	 right # : 1339 	 overlap_with_division_line # : 261
line top point : (594409.956, 5753195.131)	 line bottom point : (594409.956, 5745470.425) 	 left # : 1803 	 right # : 1337 	 overlap_with_division_line # : 261
line top point : (594410.956, 5753195.131)	 line bottom point : (594410.956, 5745470.425) 	 left # : 1803 	 right # : 1337 	 overlap_with_division_line # : 261
line top point : (594411.956, 5753195.131)	 line bottom point : (594411.956, 5745470.425) 	 left # : 1805 	 right # : 1335 	 overlap_with_division_line # : 261
line top point : (594412.956, 5753195.131)	 line bottom point : (594412.956, 5745470.425) 	 left # : 1805 	 right # : 1335 	 overlap_with_division_line # : 261
line top point : (594413.956, 5753195.131)	 line bottom point : (594413.956, 5745470.425) 	 left # : 1805 	 right # : 1335 	 overlap_with_division_line # : 261
line top point : (594414.956, 5753195.131)	 line bottom point : (594414.956, 5745470.425) 	 left # : 1805 	 right # : 1335 	 overlap_with_division_line # : 261
line top point : (594415.956, 5753195.131)	 line bottom point : (594415.956, 5745470.425) 	 left # : 1805 	 right # : 1335 	 overlap_with_division_line # : 261
line top point : (594416.956, 5753195.131)	 line bottom point : (594416.956, 5745470.425) 	 left # : 1807 	 right # : 1333 	 overlap_with_division_line # : 261
line top point : (594417.956, 5753195.131)	 line bottom point : (594417.956, 5745470.425) 	 left # : 1807 	 right # : 1333 	 overlap_with_division_line # : 261
line top point : (594418.956, 5753195.131)	 line bottom point : (594418.956, 5745470.425) 	 left # : 1807 	 right # : 1333 	 overlap_with_division_line # : 261
line top point : (594419.956, 5753195.131)	 line bottom point : (594419.956, 5745470.425) 	 left # : 1807 	 right # : 1333 	 overlap_with_division_line # : 261
line top point : (594420.956, 5753195.131)	 line bottom point : (594420.956, 5745470.425) 	 left # : 1811 	 right # : 1330 	 overlap_with_division_line # : 260
line top point : (594421.956, 5753195.131)	 line bottom point : (594421.956, 5745470.425) 	 left # : 1813 	 right # : 1328 	 overlap_with_division_line # : 260
line top point : (594422.956, 5753195.131)	 line bottom point : (594422.956, 5745470.425) 	 left # : 1813 	 right # : 1328 	 overlap_with_division_line # : 260
line top point : (594423.956, 5753195.131)	 line bottom point : (594423.956, 5745470.425) 	 left # : 1813 	 right # : 1328 	 overlap_with_division_line # : 260
line top point : (594424.956, 5753195.131)	 line bottom point : (594424.956, 5745470.425) 	 left # : 1813 	 right # : 1328 	 overlap_with_division_line # : 260
line top point : (594425.956, 5753195.131)	 line bottom point : (594425.956, 5745470.425) 	 left # : 1813 	 right # : 1328 	 overlap_with_division_line # : 260
line top point : (594426.956, 5753195.131)	 line bottom point : (594426.956, 5745470.425) 	 left # : 1813 	 right # : 1328 	 overlap_with_division_line # : 260
line top point : (594427.956, 5753195.131)	 line bottom point : (594427.956, 5745470.425) 	 left # : 1813 	 right # : 1328 	 overlap_with_division_line # : 260
line top point : (594428.956, 5753195.131)	 line bottom point : (594428.956, 5745470.425) 	 left # : 1813 	 right # : 1328 	 overlap_with_division_line # : 260
line top point : (594429.956, 5753195.131)	 line bottom point : (594429.956, 5745470.425) 	 left # : 1813 	 right # : 1328 	 overlap_with_division_line # : 260
line top point : (594430.956, 5753195.131)	 line bottom point : (594430.956, 5745470.425) 	 left # : 1814 	 right # : 1327 	 overlap_with_division_line # : 260
line top point : (594431.956, 5753195.131)	 line bottom point : (594431.956, 5745470.425) 	 left # : 1814 	 right # : 1327 	 overlap_with_division_line # : 260
line top point : (594432.956, 5753195.131)	 line bottom point : (594432.956, 5745470.425) 	 left # : 1816 	 right # : 1325 	 overlap_with_division_line # : 260
line top point : (594433.956, 5753195.131)	 line bottom point : (594433.956, 5745470.425) 	 left # : 1816 	 right # : 1325 	 overlap_with_division_line # : 260
line top point : (594434.956, 5753195.131)	 line bottom point : (594434.956, 5745470.425) 	 left # : 1816 	 right # : 1325 	 overlap_with_division_line # : 260
line top point : (594435.956, 5753195.131)	 line bottom point : (594435.956, 5745470.425) 	 left # : 1816 	 right # : 1325 	 overlap_with_division_line # : 260
line top point : (594436.956, 5753195.131)	 line bottom point : (594436.956, 5745470.425) 	 left # : 1816 	 right # : 1325 	 overlap_with_division_line # : 260
line top point : (594437.956, 5753195.131)	 line bottom point : (594437.956, 5745470.425) 	 left # : 1816 	 right # : 1325 	 overlap_with_division_line # : 260
line top point : (594438.956, 5753195.131)	 line bottom point : (594438.956, 5745470.425) 	 left # : 1818 	 right # : 1323 	 overlap_with_division_line # : 260
line top point : (594439.956, 5753195.131)	 line bottom point : (594439.956, 5745470.425) 	 left # : 1818 	 right # : 1323 	 overlap_with_division_line # : 260
line top point : (594440.956, 5753195.131)	 line bottom point : (594440.956, 5745470.425) 	 left # : 1818 	 right # : 1323 	 overlap_with_division_line # : 260
line top point : (594441.956, 5753195.131)	 line bottom point : (594441.956, 5745470.425) 	 left # : 1820 	 right # : 1321 	 overlap_with_division_line # : 260
line top point : (594442.956, 5753195.131)	 line bottom point : (594442.956, 5745470.425) 	 left # : 1822 	 right # : 1319 	 overlap_with_division_line # : 260
line top point : (594443.956, 5753195.131)	 line bottom point : (594443.956, 5745470.425) 	 left # : 1824 	 right # : 1317 	 overlap_with_division_line # : 260
line top point : (594444.956, 5753195.131)	 line bottom point : (594444.956, 5745470.425) 	 left # : 1827 	 right # : 1314 	 overlap_with_division_line # : 260
line top point : (594445.956, 5753195.131)	 line bottom point : (594445.956, 5745470.425) 	 left # : 1827 	 right # : 1314 	 overlap_with_division_line # : 260
line top point : (594446.956, 5753195.131)	 line bottom point : (594446.956, 5745470.425) 	 left # : 1827 	 right # : 1314 	 overlap_with_division_line # : 260
line top point : (594447.956, 5753195.131)	 line bottom point : (594447.956, 5745470.425) 	 left # : 1831 	 right # : 1312 	 overlap_with_division_line # : 258
line top point : (594448.956, 5753195.131)	 line bottom point : (594448.956, 5745470.425) 	 left # : 1831 	 right # : 1312 	 overlap_with_division_line # : 258
line top point : (594449.956, 5753195.131)	 line bottom point : (594449.956, 5745470.425) 	 left # : 1831 	 right # : 1312 	 overlap_with_division_line # : 258
line top point : (594450.956, 5753195.131)	 line bottom point : (594450.956, 5745470.425) 	 left # : 1831 	 right # : 1312 	 overlap_with_division_line # : 258
line top point : (594451.956, 5753195.131)	 line bottom point : (594451.956, 5745470.425) 	 left # : 1831 	 right # : 1312 	 overlap_with_division_line # : 258
line top point : (594452.956, 5753195.131)	 line bottom point : (594452.956, 5745470.425) 	 left # : 1833 	 right # : 1312 	 overlap_with_division_line # : 256
line top point : (594453.956, 5753195.131)	 line bottom point : (594453.956, 5745470.425) 	 left # : 1834 	 right # : 1311 	 overlap_with_division_line # : 256
line top point : (594454.956, 5753195.131)	 line bottom point : (594454.956, 5745470.425) 	 left # : 1834 	 right # : 1311 	 overlap_with_division_line # : 256
line top point : (594455.956, 5753195.131)	 line bottom point : (594455.956, 5745470.425) 	 left # : 1837 	 right # : 1308 	 overlap_with_division_line # : 256
line top point : (594456.956, 5753195.131)	 line bottom point : (594456.956, 5745470.425) 	 left # : 1838 	 right # : 1307 	 overlap_with_division_line # : 256
line top point : (594457.956, 5753195.131)	 line bottom point : (594457.956, 5745470.425) 	 left # : 1838 	 right # : 1307 	 overlap_with_division_line # : 256
line top point : (594458.956, 5753195.131)	 line bottom point : (594458.956, 5745470.425) 	 left # : 1838 	 right # : 1307 	 overlap_with_division_line # : 256
line top point : (594459.956, 5753195.131)	 line bottom point : (594459.956, 5745470.425) 	 left # : 1840 	 right # : 1306 	 overlap_with_division_line # : 255
line top point : (594460.956, 5753195.131)	 line bottom point : (594460.956, 5745470.425) 	 left # : 1840 	 right # : 1306 	 overlap_with_division_line # : 255
line top point : (594461.956, 5753195.131)	 line bottom point : (594461.956, 5745470.425) 	 left # : 1842 	 right # : 1304 	 overlap_with_division_line # : 255
line top point : (594462.956, 5753195.131)	 line bottom point : (594462.956, 5745470.425) 	 left # : 1842 	 right # : 1304 	 overlap_with_division_line # : 255
line top point : (594463.956, 5753195.131)	 line bottom point : (594463.956, 5745470.425) 	 left # : 1842 	 right # : 1304 	 overlap_with_division_line # : 255
line top point : (594464.956, 5753195.131)	 line bottom point : (594464.956, 5745470.425) 	 left # : 1842 	 right # : 1304 	 overlap_with_division_line # : 255
line top point : (594465.956, 5753195.131)	 line bottom point : (594465.956, 5745470.425) 	 left # : 1842 	 right # : 1304 	 overlap_with_division_line # : 255
line top point : (594466.956, 5753195.131)	 line bottom point : (594466.956, 5745470.425) 	 left # : 1842 	 right # : 1304 	 overlap_with_division_line # : 255
line top point : (594467.956, 5753195.131)	 line bottom point : (594467.956, 5745470.425) 	 left # : 1844 	 right # : 1302 	 overlap_with_division_line # : 255
line top point : (594468.956, 5753195.131)	 line bottom point : (594468.956, 5745470.425) 	 left # : 1844 	 right # : 1302 	 overlap_with_division_line # : 255
line top point : (594469.956, 5753195.131)	 line bottom point : (594469.956, 5745470.425) 	 left # : 1845 	 right # : 1301 	 overlap_with_division_line # : 255
line top point : (594470.956, 5753195.131)	 line bottom point : (594470.956, 5745470.425) 	 left # : 1845 	 right # : 1301 	 overlap_with_division_line # : 255
line top point : (594471.956, 5753195.131)	 line bottom point : (594471.956, 5745470.425) 	 left # : 1845 	 right # : 1301 	 overlap_with_division_line # : 255
line top point : (594472.956, 5753195.131)	 line bottom point : (594472.956, 5745470.425) 	 left # : 1845 	 right # : 1301 	 overlap_with_division_line # : 255
line top point : (594473.956, 5753195.131)	 line bottom point : (594473.956, 5745470.425) 	 left # : 1845 	 right # : 1301 	 overlap_with_division_line # : 255
line top point : (594474.956, 5753195.131)	 line bottom point : (594474.956, 5745470.425) 	 left # : 1845 	 right # : 1301 	 overlap_with_division_line # : 255
line top point : (594475.956, 5753195.131)	 line bottom point : (594475.956, 5745470.425) 	 left # : 1846 	 right # : 1300 	 overlap_with_division_line # : 255
line top point : (594476.956, 5753195.131)	 line bottom point : (594476.956, 5745470.425) 	 left # : 1846 	 right # : 1300 	 overlap_with_division_line # : 255
line top point : (594477.956, 5753195.131)	 line bottom point : (594477.956, 5745470.425) 	 left # : 1848 	 right # : 1298 	 overlap_with_division_line # : 255
line top point : (594478.956, 5753195.131)	 line bottom point : (594478.956, 5745470.425) 	 left # : 1848 	 right # : 1298 	 overlap_with_division_line # : 255
line top point : (594479.956, 5753195.131)	 line bottom point : (594479.956, 5745470.425) 	 left # : 1850 	 right # : 1297 	 overlap_with_division_line # : 254
line top point : (594480.956, 5753195.131)	 line bottom point : (594480.956, 5745470.425) 	 left # : 1852 	 right # : 1296 	 overlap_with_division_line # : 253
line top point : (594481.956, 5753195.131)	 line bottom point : (594481.956, 5745470.425) 	 left # : 1852 	 right # : 1296 	 overlap_with_division_line # : 253
line top point : (594482.956, 5753195.131)	 line bottom point : (594482.956, 5745470.425) 	 left # : 1852 	 right # : 1296 	 overlap_with_division_line # : 253
line top point : (594483.956, 5753195.131)	 line bottom point : (594483.956, 5745470.425) 	 left # : 1853 	 right # : 1295 	 overlap_with_division_line # : 253
line top point : (594484.956, 5753195.131)	 line bottom point : (594484.956, 5745470.425) 	 left # : 1853 	 right # : 1295 	 overlap_with_division_line # : 253
line top point : (594485.956, 5753195.131)	 line bottom point : (594485.956, 5745470.425) 	 left # : 1853 	 right # : 1295 	 overlap_with_division_line # : 253
line top point : (594486.956, 5753195.131)	 line bottom point : (594486.956, 5745470.425) 	 left # : 1853 	 right # : 1295 	 overlap_with_division_line # : 253
line top point : (594487.956, 5753195.131)	 line bottom point : (594487.956, 5745470.425) 	 left # : 1853 	 right # : 1295 	 overlap_with_division_line # : 253
line top point : (594488.956, 5753195.131)	 line bottom point : (594488.956, 5745470.425) 	 left # : 1853 	 right # : 1295 	 overlap_with_division_line # : 253
line top point : (594489.956, 5753195.131)	 line bottom point : (594489.956, 5745470.425) 	 left # : 1853 	 right # : 1295 	 overlap_with_division_line # : 253
line top point : (594490.956, 5753195.131)	 line bottom point : (594490.956, 5745470.425) 	 left # : 1853 	 right # : 1295 	 overlap_with_division_line # : 253
line top point : (594491.956, 5753195.131)	 line bottom point : (594491.956, 5745470.425) 	 left # : 1853 	 right # : 1295 	 overlap_with_division_line # : 253
line top point : (594492.956, 5753195.131)	 line bottom point : (594492.956, 5745470.425) 	 left # : 1857 	 right # : 1291 	 overlap_with_division_line # : 253
line top point : (594493.956, 5753195.131)	 line bottom point : (594493.956, 5745470.425) 	 left # : 1857 	 right # : 1291 	 overlap_with_division_line # : 253
line top point : (594494.956, 5753195.131)	 line bottom point : (594494.956, 5745470.425) 	 left # : 1859 	 right # : 1289 	 overlap_with_division_line # : 253
line top point : (594495.956, 5753195.131)	 line bottom point : (594495.956, 5745470.425) 	 left # : 1859 	 right # : 1289 	 overlap_with_division_line # : 253
line top point : (594496.956, 5753195.131)	 line bottom point : (594496.956, 5745470.425) 	 left # : 1860 	 right # : 1288 	 overlap_with_division_line # : 253
line top point : (594497.956, 5753195.131)	 line bottom point : (594497.956, 5745470.425) 	 left # : 1861 	 right # : 1287 	 overlap_with_division_line # : 253
line top point : (594498.956, 5753195.131)	 line bottom point : (594498.956, 5745470.425) 	 left # : 1861 	 right # : 1287 	 overlap_with_division_line # : 253
line top point : (594499.956, 5753195.131)	 line bottom point : (594499.956, 5745470.425) 	 left # : 1861 	 right # : 1287 	 overlap_with_division_line # : 253
line top point : (594500.956, 5753195.131)	 line bottom point : (594500.956, 5745470.425) 	 left # : 1863 	 right # : 1285 	 overlap_with_division_line # : 253
line top point : (594501.956, 5753195.131)	 line bottom point : (594501.956, 5745470.425) 	 left # : 1865 	 right # : 1283 	 overlap_with_division_line # : 253
line top point : (594502.956, 5753195.131)	 line bottom point : (594502.956, 5745470.425) 	 left # : 1865 	 right # : 1283 	 overlap_with_division_line # : 253
line top point : (594503.956, 5753195.131)	 line bottom point : (594503.956, 5745470.425) 	 left # : 1865 	 right # : 1283 	 overlap_with_division_line # : 253
line top point : (594504.956, 5753195.131)	 line bottom point : (594504.956, 5745470.425) 	 left # : 1865 	 right # : 1283 	 overlap_with_division_line # : 253
line top point : (594505.956, 5753195.131)	 line bottom point : (594505.956, 5745470.425) 	 left # : 1865 	 right # : 1283 	 overlap_with_division_line # : 253
line top point : (594506.956, 5753195.131)	 line bottom point : (594506.956, 5745470.425) 	 left # : 1865 	 right # : 1283 	 overlap_with_division_line # : 253
line top point : (594507.956, 5753195.131)	 line bottom point : (594507.956, 5745470.425) 	 left # : 1871 	 right # : 1278 	 overlap_with_division_line # : 252
line top point : (594508.956, 5753195.131)	 line bottom point : (594508.956, 5745470.425) 	 left # : 1871 	 right # : 1278 	 overlap_with_division_line # : 252
line top point : (594509.956, 5753195.131)	 line bottom point : (594509.956, 5745470.425) 	 left # : 1871 	 right # : 1278 	 overlap_with_division_line # : 252
line top point : (594510.956, 5753195.131)	 line bottom point : (594510.956, 5745470.425) 	 left # : 1871 	 right # : 1278 	 overlap_with_division_line # : 252
line top point : (594511.956, 5753195.131)	 line bottom point : (594511.956, 5745470.425) 	 left # : 1875 	 right # : 1274 	 overlap_with_division_line # : 252
line top point : (594512.956, 5753195.131)	 line bottom point : (594512.956, 5745470.425) 	 left # : 1875 	 right # : 1274 	 overlap_with_division_line # : 252
line top point : (594513.956, 5753195.131)	 line bottom point : (594513.956, 5745470.425) 	 left # : 1875 	 right # : 1274 	 overlap_with_division_line # : 252
line top point : (594514.956, 5753195.131)	 line bottom point : (594514.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594515.956, 5753195.131)	 line bottom point : (594515.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594516.956, 5753195.131)	 line bottom point : (594516.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594517.956, 5753195.131)	 line bottom point : (594517.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594518.956, 5753195.131)	 line bottom point : (594518.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594519.956, 5753195.131)	 line bottom point : (594519.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594520.956, 5753195.131)	 line bottom point : (594520.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594521.956, 5753195.131)	 line bottom point : (594521.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594522.956, 5753195.131)	 line bottom point : (594522.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594523.956, 5753195.131)	 line bottom point : (594523.956, 5745470.425) 	 left # : 1878 	 right # : 1271 	 overlap_with_division_line # : 252
line top point : (594524.956, 5753195.131)	 line bottom point : (594524.956, 5745470.425) 	 left # : 1881 	 right # : 1267 	 overlap_with_division_line # : 253
line top point : (594525.956, 5753195.131)	 line bottom point : (594525.956, 5745470.425) 	 left # : 1882 	 right # : 1266 	 overlap_with_division_line # : 253
line top point : (594526.956, 5753195.131)	 line bottom point : (594526.956, 5745470.425) 	 left # : 1882 	 right # : 1266 	 overlap_with_division_line # : 253
line top point : (594527.956, 5753195.131)	 line bottom point : (594527.956, 5745470.425) 	 left # : 1884 	 right # : 1264 	 overlap_with_division_line # : 253
line top point : (594528.956, 5753195.131)	 line bottom point : (594528.956, 5745470.425) 	 left # : 1887 	 right # : 1260 	 overlap_with_division_line # : 254
line top point : (594529.956, 5753195.131)	 line bottom point : (594529.956, 5745470.425) 	 left # : 1887 	 right # : 1260 	 overlap_with_division_line # : 254
line top point : (594530.956, 5753195.131)	 line bottom point : (594530.956, 5745470.425) 	 left # : 1887 	 right # : 1260 	 overlap_with_division_line # : 254
line top point : (594531.956, 5753195.131)	 line bottom point : (594531.956, 5745470.425) 	 left # : 1887 	 right # : 1260 	 overlap_with_division_line # : 254
line top point : (594532.956, 5753195.131)	 line bottom point : (594532.956, 5745470.425) 	 left # : 1887 	 right # : 1260 	 overlap_with_division_line # : 254
line top point : (594533.956, 5753195.131)	 line bottom point : (594533.956, 5745470.425) 	 left # : 1888 	 right # : 1259 	 overlap_with_division_line # : 254
line top point : (594534.956, 5753195.131)	 line bottom point : (594534.956, 5745470.425) 	 left # : 1892 	 right # : 1256 	 overlap_with_division_line # : 253
line top point : (594535.956, 5753195.131)	 line bottom point : (594535.956, 5745470.425) 	 left # : 1893 	 right # : 1255 	 overlap_with_division_line # : 253
line top point : (594536.956, 5753195.131)	 line bottom point : (594536.956, 5745470.425) 	 left # : 1893 	 right # : 1255 	 overlap_with_division_line # : 253
line top point : (594537.956, 5753195.131)	 line bottom point : (594537.956, 5745470.425) 	 left # : 1893 	 right # : 1255 	 overlap_with_division_line # : 253
line top point : (594538.956, 5753195.131)	 line bottom point : (594538.956, 5745470.425) 	 left # : 1893 	 right # : 1255 	 overlap_with_division_line # : 253
line top point : (594539.956, 5753195.131)	 line bottom point : (594539.956, 5745470.425) 	 left # : 1893 	 right # : 1255 	 overlap_with_division_line # : 253
line top point : (594540.956, 5753195.131)	 line bottom point : (594540.956, 5745470.425) 	 left # : 1893 	 right # : 1255 	 overlap_with_division_line # : 253
line top point : (594541.956, 5753195.131)	 line bottom point : (594541.956, 5745470.425) 	 left # : 1893 	 right # : 1254 	 overlap_with_division_line # : 254
line top point : (594542.956, 5753195.131)	 line bottom point : (594542.956, 5745470.425) 	 left # : 1893 	 right # : 1254 	 overlap_with_division_line # : 254
line top point : (594543.956, 5753195.131)	 line bottom point : (594543.956, 5745470.425) 	 left # : 1893 	 right # : 1254 	 overlap_with_division_line # : 254
line top point : (594544.956, 5753195.131)	 line bottom point : (594544.956, 5745470.425) 	 left # : 1893 	 right # : 1254 	 overlap_with_division_line # : 254
line top point : (594545.956, 5753195.131)	 line bottom point : (594545.956, 5745470.425) 	 left # : 1894 	 right # : 1253 	 overlap_with_division_line # : 254
line top point : (594546.956, 5753195.131)	 line bottom point : (594546.956, 5745470.425) 	 left # : 1894 	 right # : 1253 	 overlap_with_division_line # : 254
line top point : (594547.956, 5753195.131)	 line bottom point : (594547.956, 5745470.425) 	 left # : 1897 	 right # : 1250 	 overlap_with_division_line # : 254
line top point : (594548.956, 5753195.131)	 line bottom point : (594548.956, 5745470.425) 	 left # : 1897 	 right # : 1250 	 overlap_with_division_line # : 254
line top point : (594549.956, 5753195.131)	 line bottom point : (594549.956, 5745470.425) 	 left # : 1897 	 right # : 1250 	 overlap_with_division_line # : 254
line top point : (594550.956, 5753195.131)	 line bottom point : (594550.956, 5745470.425) 	 left # : 1897 	 right # : 1250 	 overlap_with_division_line # : 254
line top point : (594551.956, 5753195.131)	 line bottom point : (594551.956, 5745470.425) 	 left # : 1901 	 right # : 1246 	 overlap_with_division_line # : 254
line top point : (594552.956, 5753195.131)	 line bottom point : (594552.956, 5745470.425) 	 left # : 1901 	 right # : 1246 	 overlap_with_division_line # : 254
line top point : (594553.956, 5753195.131)	 line bottom point : (594553.956, 5745470.425) 	 left # : 1901 	 right # : 1246 	 overlap_with_division_line # : 254
line top point : (594554.956, 5753195.131)	 line bottom point : (594554.956, 5745470.425) 	 left # : 1902 	 right # : 1245 	 overlap_with_division_line # : 254
line top point : (594555.956, 5753195.131)	 line bottom point : (594555.956, 5745470.425) 	 left # : 1903 	 right # : 1244 	 overlap_with_division_line # : 254
line top point : (594556.956, 5753195.131)	 line bottom point : (594556.956, 5745470.425) 	 left # : 1903 	 right # : 1244 	 overlap_with_division_line # : 254
line top point : (594557.956, 5753195.131)	 line bottom point : (594557.956, 5745470.425) 	 left # : 1907 	 right # : 1240 	 overlap_with_division_line # : 254
line top point : (594558.956, 5753195.131)	 line bottom point : (594558.956, 5745470.425) 	 left # : 1907 	 right # : 1240 	 overlap_with_division_line # : 254
line top point : (594559.956, 5753195.131)	 line bottom point : (594559.956, 5745470.425) 	 left # : 1909 	 right # : 1238 	 overlap_with_division_line # : 254
line top point : (594560.956, 5753195.131)	 line bottom point : (594560.956, 5745470.425) 	 left # : 1909 	 right # : 1238 	 overlap_with_division_line # : 254
line top point : (594561.956, 5753195.131)	 line bottom point : (594561.956, 5745470.425) 	 left # : 1909 	 right # : 1238 	 overlap_with_division_line # : 254
line top point : (594562.956, 5753195.131)	 line bottom point : (594562.956, 5745470.425) 	 left # : 1909 	 right # : 1238 	 overlap_with_division_line # : 254
line top point : (594563.956, 5753195.131)	 line bottom point : (594563.956, 5745470.425) 	 left # : 1909 	 right # : 1238 	 overlap_with_division_line # : 254
line top point : (594564.956, 5753195.131)	 line bottom point : (594564.956, 5745470.425) 	 left # : 1909 	 right # : 1238 	 overlap_with_division_line # : 254
line top point : (594565.956, 5753195.131)	 line bottom point : (594565.956, 5745470.425) 	 left # : 1909 	 right # : 1238 	 overlap_with_division_line # : 254
line top point : (594566.956, 5753195.131)	 line bottom point : (594566.956, 5745470.425) 	 left # : 1910 	 right # : 1236 	 overlap_with_division_line # : 255
line top point : (594567.956, 5753195.131)	 line bottom point : (594567.956, 5745470.425) 	 left # : 1911 	 right # : 1235 	 overlap_with_division_line # : 255
line top point : (594568.956, 5753195.131)	 line bottom point : (594568.956, 5745470.425) 	 left # : 1912 	 right # : 1234 	 overlap_with_division_line # : 255
line top point : (594569.956, 5753195.131)	 line bottom point : (594569.956, 5745470.425) 	 left # : 1912 	 right # : 1234 	 overlap_with_division_line # : 255
line top point : (594570.956, 5753195.131)	 line bottom point : (594570.956, 5745470.425) 	 left # : 1912 	 right # : 1234 	 overlap_with_division_line # : 255
line top point : (594571.956, 5753195.131)	 line bottom point : (594571.956, 5745470.425) 	 left # : 1912 	 right # : 1234 	 overlap_with_division_line # : 255
line top point : (594572.956, 5753195.131)	 line bottom point : (594572.956, 5745470.425) 	 left # : 1914 	 right # : 1230 	 overlap_with_division_line # : 257
line top point : (594573.956, 5753195.131)	 line bottom point : (594573.956, 5745470.425) 	 left # : 1916 	 right # : 1229 	 overlap_with_division_line # : 256
line top point : (594574.956, 5753195.131)	 line bottom point : (594574.956, 5745470.425) 	 left # : 1916 	 right # : 1229 	 overlap_with_division_line # : 256
line top point : (594575.956, 5753195.131)	 line bottom point : (594575.956, 5745470.425) 	 left # : 1918 	 right # : 1227 	 overlap_with_division_line # : 256
line top point : (594576.956, 5753195.131)	 line bottom point : (594576.956, 5745470.425) 	 left # : 1918 	 right # : 1227 	 overlap_with_division_line # : 256
line top point : (594577.956, 5753195.131)	 line bottom point : (594577.956, 5745470.425) 	 left # : 1918 	 right # : 1227 	 overlap_with_division_line # : 256
line top point : (594578.956, 5753195.131)	 line bottom point : (594578.956, 5745470.425) 	 left # : 1918 	 right # : 1227 	 overlap_with_division_line # : 256
line top point : (594579.956, 5753195.131)	 line bottom point : (594579.956, 5745470.425) 	 left # : 1918 	 right # : 1227 	 overlap_with_division_line # : 256
line top point : (594580.956, 5753195.131)	 line bottom point : (594580.956, 5745470.425) 	 left # : 1920 	 right # : 1225 	 overlap_with_division_line # : 256
line top point : (594581.956, 5753195.131)	 line bottom point : (594581.956, 5745470.425) 	 left # : 1920 	 right # : 1223 	 overlap_with_division_line # : 258
line top point : (594582.956, 5753195.131)	 line bottom point : (594582.956, 5745470.425) 	 left # : 1924 	 right # : 1219 	 overlap_with_division_line # : 258
